iter	Passed	Remaining
647	1225	665
648	1227	663
649	1228	661
650	1230	659
651	1232	657
652	1234	655
653	1236	654
654	1238	652
655	1239	650
656	1242	648
657	1243	646
658	1245	644
659	1247	642
660	1249	640
661	1251	638
662	1252	636
663	1254	634
664	1256	633
665	1258	631
666	1260	629
667	1261	627
668	1263	625
669	1265	623
670	1267	621
671	1269	619
672	1271	617
673	1273	615
674	1274	613
675	1276	611
676	1278	610
677	1280	608
678	1282	606
679	1284	604
680	1285	602
681	1287	600
682	1289	598
683	1291	596
684	1293	594
685	1295	592
686	1297	590
687	1298	589
688	1300	587
689	1302	585
690	1304	583
691	1306	581
692	1308	579
693	1309	577
694	1311	575
695	1313	573
696	1315	571
697	1317	569
698	1319	567
699	1320	566
700	1322	564
701	1324	562
702	1326	560
703	1328	558
704	1330	556
705	1332	554
706	1333	552
707	1335	550
708	1337	549
709	1339	547
710	1341	545
711	1343	543
712	1348	542
713	1350	541
714	1352	539
715	1354	537
716	1356	535
717	1358	533
718	1360	531
719	1361	529
720	1363	527
721	1365	525
722	1367	523
723	1369	521
724	1371	520
725	1372	518
726	1374	516
727	1376	514
728	1378	512
729	1380	510
730	1382	508
731	1383	506
732	1385	504
733	1387	502
734	1389	500
735	1391	499
736	1393	497
737	1394	495
738	1396	493
739	1398	491
740	1400	489
741	1402	487
742	1404	485
743	1406	483
744	1407	481
745	1409	480
746	1411	478
747	1413	476
748	1415	474
749	1417	472
750	1419	470
751	1421	468
752	1422	466
753	1424	464
754	1426	462
755	1428	460
756	1430	459
757	1431	457
758	1434	455
759	1436	453
760	1438	451
761	1440	449
762	1442	447
763	1444	446
764	1446	444
765	1448	442
766	1451	440
767	1452	438
768	1454	437
769	1456	435
770	1458	433
771	1460	431
772	1462	429
773	1464	427
774	1468	426
775	1471	424
776	1473	422
777	1475	421
778	1477	419
779	1479	417
780	1481	415
781	1483	413
782	1485	411
783	1487	409
784	1488	407
785	1490	405
786	1492	403
787	1494	402
788	1496	400
789	1498	398
790	1500	396
791	1502	394
792	1504	392
793	1506	390
794	1508	388
795	1509	386
796	1511	385
797	1513	383
798	1515	381
799	1517	379
800	1519	377
801	1520	375
802	1522	373
803	1524	371
804	1526	369
805	1528	367
806	1530	365
807	1532	364
808	1534	362
809	1535	360
810	1537	358
811	1539	356
812	1541	354
813	1543	352
814	1545	350
815	1546	348
816	1548	346
817	1550	344
818	1552	343
819	1554	341
820	1555	339
821	1557	337
822	1559	335
823	1561	333
824	1563	331
825	1565	329
826	1566	327
827	1568	325
828	1570	323
829	1572	322
830	1574	320
831	1576	318
832	1578	316
833	1579	314
834	1581	312
835	1583	310
836	1585	308
837	1587	306
838	1589	304
839	1590	303
840	1592	301
841	1594	299
842	1596	297
843	1598	295
844	1600	293
845	1602	291
846	1604	289
847	1606	287
848	1607	285
849	1609	284
850	1611	282
851	1613	280
852	1615	278
853	1617	276
854	1619	274
855	1621	272
856	1622	270
857	1624	268
858	1626	267
859	1628	265
860	1630	263
861	1632	261
862	1634	259
863	1636	257
864	1638	255
865	1639	253
866	1641	251
867	1643	249
868	1645	248
869	1647	246
870	1649	244
871	1651	242
872	1653	240
873	1654	238
874	1656	236
875	1658	234
876	1660	232
877	1662	230
878	1664	229
879	1666	227
880	1667	225
881	1669	223
882	1671	221
883	1673	219
884	1675	217
885	1677	215
886	1679	213
887	1680	212
888	1682	210
889	1684	208
890	1686	206
891	1688	204
892	1690	202
893	1692	200
894	1693	198
895	1695	196
896	1697	194
897	1699	193
898	1701	191
899	1703	189
900	1705	187
901	1707	185
902	1709	183
903	1711	181
904	1713	179
905	1714	177
906	1716	176
907	1718	174
908	1720	172
909	1722	170
910	1724	168
911	1725	166
912	1727	164
913	1729	162
914	1731	160
915	1733	158
916	1735	157
917	1737	155
918	1738	153
919	1740	151
920	1742	149
921	1744	147
922	1746	145
923	1748	143
924	1750	141
925	1751	139
926	1753	138
927	1755	136
928	1757	134
929	1759	132
930	1761	130
931	1763	128
932	1764	126
933	1766	124
934	1768	122
935	1770	121
936	1772	119
937	1774	117
938	1775	115
939	1777	113
940	1779	111
941	1781	109
942	1783	107
943	1785	105
944	1786	103
945	1788	102
946	1790	100
947	1792	98
948	1794	96
949	1795	94
950	1797	92
951	1799	90
952	1801	88
953	1803	86
954	1805	85
955	1806	83
956	1808	81
957	1810	79
958	1812	77
959	1814	75
960	1815	73
961	1817	71
962	1819	69
963	1821	68
964	1823	66
965	1825	64
966	1827	62
967	1828	60
968	1830	58
969	1832	56
970	1834	54
971	1836	52
972	1838	51
973	1840	49
974	1842	47
975	1843	45
976	1845	43
977	1847	41
978	1849	39
979	1851	37
980	1853	35
981	1855	34
982	1857	32
983	1858	30
984	1860	28
985	1862	26
986	1864	24
987	1866	22
988	1868	20
989	1870	18
990	1872	17
991	1874	15
992	1875	13
993	1877	11
994	1879	9
995	1881	7
996	1883	5
997	1885	3
998	1887	1
999	1888	0
